Common Name,year,pop
European shag,1973,1100
European shag,1974,850
European shag,1975,650
European shag,1976,500
European shag,1977,850
European shag,1978,700
European shag,1979,950
European shag,1980,1050
European shag,1981,1200
European shag,1982,1400
European shag,1983,1600
European shag,1984,1650
European shag,1985,1300
European shag,1986,1300
European shag,1986,1350
European shag,1987,1900
European shag,1987,1900
European shag,1988,1250
European shag,1988,1300
European shag,1989,1650
European shag,1989,1750
European shag,1990,1400
European shag,1990,1800
European shag,1991,1500
European shag,1991,1500
European shag,1992,1550
European shag,1992,1550
European shag,1993,700
European shag,1993,750
European shag,1994,400
European shag,1994,400
European shag,1995,450
European shag,1995,500
European shag,1996,500
European shag,1996,550
European shag,1997,450
European shag,1997,500
European shag,1998,650
European shag,1998,650
European shag,1999,250
European shag,2000,550
European shag,2001,700
European shag,2002,650
European shag,2003,950
European shag,2004,650
European shag,2005,250
European shag,2006,500
